"year","passage_estimate","run","adipose_clipped"
2004,1618,"spring",FALSE
2005,5274,"spring",FALSE
2006,1456,"spring",FALSE
2007,353,"spring",FALSE
2008,1320,"spring",FALSE
2009,2616,"spring",FALSE
2010,3737,"spring",FALSE
2011,2360,"spring",FALSE
2012,2289,"spring",FALSE
2013,4046,"spring",FALSE
2014,2021,"spring",FALSE
2015,235,"spring",FALSE
2018,281,"spring",FALSE
2020,1337,"spring",FALSE
2021,1669,"spring",FALSE
