"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2014-10-28T00:00:00Z","female",820,FALSE,"non fresh","unspawned",1
"2013-10-15T00:00:00Z","male",835,TRUE,"fresh",NA,1
"2011-10-20T00:00:00Z","male",530,FALSE,"non fresh",NA,1
"2011-11-17T00:00:00Z","male",615,FALSE,"non fresh",NA,1
"2011-10-20T00:00:00Z","male",630,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",630,FALSE,"non fresh",NA,1
"2011-11-17T00:00:00Z","male",645,FALSE,"fresh",NA,1
"2011-11-10T00:00:00Z","male",655,FALSE,"fresh",NA,1
"2011-11-10T00:00:00Z","male",660,FALSE,"fresh",NA,1
"2019-11-26T00:00:00Z","male",739,FALSE,"non fresh",NA,1
"2015-11-04T00:00:00Z","male",790,TRUE,"non fresh",NA,1
"2013-10-15T00:00:00Z","male",820,FALSE,"fresh",NA,1
"2013-11-19T00:00:00Z","male",850,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",860,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",875,FALSE,"non fresh",NA,1
"2014-11-04T00:00:00Z","male",875,FALSE,"non fresh",NA,1
"2013-12-27T00:00:00Z","female",900,FALSE,"fresh","spawned",1
"2013-10-22T00:00:00Z","male",1020,FALSE,"fresh",NA,1
"2011-10-20T00:00:00Z","male",553,FALSE,"non fresh",NA,1
"2011-11-03T00:00:00Z","female",565,FALSE,"non fresh","spawned",1
"2011-10-06T00:00:00Z","male",580,FALSE,"fresh",NA,1
"2014-11-11T00:00:00Z","male",580,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",590,FALSE,"non fresh",NA,1
"2014-11-11T00:00:00Z","male",595,TRUE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",600,FALSE,"fresh",NA,1
"2011-10-27T00:00:00Z","male",600,TRUE,"non fresh",NA,1
"2014-11-11T00:00:00Z","male",610,TRUE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",620,TRUE,"non fresh",NA,1
"2011-12-01T00:00:00Z","female",640,FALSE,"non fresh","spawned",1
"2011-12-08T00:00:00Z","male",640,FALSE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",645,FALSE,"fresh",NA,1
"2015-12-08T00:00:00Z","male",650,FALSE,"non fresh",NA,1
"2011-11-17T00:00:00Z","male",660,TRUE,"non fresh",NA,1
"2011-11-03T00:00:00Z","male",665,FALSE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",670,FALSE,"non fresh",NA,1
"2011-12-01T00:00:00Z","male",670,TRUE,"fresh",NA,1
"2011-11-17T00:00:00Z","male",690,FALSE,"fresh",NA,1
