"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2011-10-27","male",600,TRUE,"non fresh",NA,1
"2014-11-11","male",610,TRUE,"non fresh",NA,1
"2013-11-13","male",620,TRUE,"non fresh",NA,1
"2011-12-01","female",640,FALSE,"non fresh","spawned",1
"2011-12-08","male",640,FALSE,"non fresh",NA,1
"2011-10-27","male",645,FALSE,"fresh",NA,1
"2015-12-08","male",650,FALSE,"non fresh",NA,1
"2011-11-17","male",660,TRUE,"non fresh",NA,1
"2011-11-03","male",665,FALSE,"non fresh",NA,1
"2011-10-27","male",670,FALSE,"non fresh",NA,1
"2011-12-01","male",670,TRUE,"fresh",NA,1
"2011-11-17","male",690,FALSE,"fresh",NA,1
"2014-12-01","male",715,TRUE,"non fresh",NA,1
"2013-11-13","male",725,FALSE,"non fresh",NA,1
"2011-11-17","female",750,FALSE,"non fresh","spawned",1
"2013-11-13","male",755,FALSE,"non fresh",NA,1
"2011-11-17","female",760,FALSE,"fresh","spawned",1
"2013-10-08","male",760,TRUE,"non fresh",NA,1
"2013-11-05","male",780,FALSE,"non fresh",NA,1
"2013-11-26","female",790,FALSE,"fresh","unspawned",1
"2014-12-01","male",825,FALSE,"non fresh",NA,1
"2013-11-05","female",840,FALSE,"fresh","unspawned",1
"2019-09-18","male",843,TRUE,"fresh",NA,1
"2011-10-20","male",845,FALSE,NA,NA,1
"2020-11-19","male",855,FALSE,"fresh","unspawned",1
"2013-11-13","male",860,FALSE,"fresh",NA,1
"2013-11-13","male",860,FALSE,"non fresh",NA,1
"2014-11-19","male",885,FALSE,"fresh",NA,1
"2014-11-24","female",890,FALSE,"fresh","spawned",1
"2014-11-19","female",900,FALSE,"non fresh","spawned",1
"2013-11-05","male",900,FALSE,"non fresh",NA,1
"2011-11-10","male",580,TRUE,"fresh",NA,1
"2011-11-03","male",585,FALSE,"fresh",NA,1
"2014-10-28","male",615,FALSE,"non fresh",NA,1
"2013-11-19","female",620,TRUE,"fresh","spawned",1
"2011-11-17","female",625,TRUE,"non fresh","spawned",1
"2011-10-20","male",635,FALSE,"non fresh",NA,1
"2011-10-20","male",640,FALSE,"fresh",NA,1
"2013-10-22","male",650,TRUE,"non fresh",NA,1
"2011-11-23","male",655,FALSE,"fresh",NA,1
"2013-10-29","male",720,FALSE,"non fresh",NA,1
"2011-12-01","male",755,TRUE,"non fresh",NA,1
"2013-10-29","male",780,FALSE,"fresh",NA,1
"2013-10-15","male",780,TRUE,"fresh",NA,1
"2011-11-23","female",805,FALSE,"non fresh","spawned",1
"2011-11-10","male",810,FALSE,"non fresh",NA,1
"2014-10-20","male",820,TRUE,"fresh",NA,1
"2013-10-22","male",850,TRUE,"non fresh",NA,1
"2013-10-29","male",855,FALSE,"fresh",NA,1
"2013-10-29","male",860,FALSE,"non fresh",NA,1
"2016-10-20","male",885,TRUE,"non fresh",NA,1
"2011-10-20","male",890,FALSE,"non fresh",NA,1
"2013-11-19","male",890,FALSE,"non fresh",NA,1
"2013-11-05","male",910,FALSE,"non fresh",NA,1
"2013-11-13","male",910,FALSE,"non fresh",NA,1
"2015-12-02","male",910,FALSE,"fresh",NA,1
"2013-11-05","female",915,FALSE,"non fresh","spawned",1
"2013-11-05","male",915,FALSE,"fresh",NA,1
"2013-11-05","male",925,FALSE,"fresh",NA,1
"2014-11-19","male",925,FALSE,"fresh",NA,1
"2014-11-24","female",930,FALSE,"non fresh","spawned",1
"2014-11-24","male",960,FALSE,"non fresh",NA,1
"2013-11-05","male",970,FALSE,"non fresh",NA,1
"2018-11-26","female",420,TRUE,"fresh","spawned",1
"2011-11-17","female",530,FALSE,"fresh","spawned",1
"2015-11-04","male",560,FALSE,"non fresh",NA,1
"2011-10-27","male",570,FALSE,"non fresh",NA,1
"2013-11-13","male",570,FALSE,"non fresh",NA,1
"2011-10-20","male",590,TRUE,"non fresh",NA,1
"2011-11-03","female",595,FALSE,"fresh","spawned",1
"2013-12-27","male",595,FALSE,"fresh",NA,1
"2013-11-13","male",595,TRUE,"non fresh",NA,1
"2011-11-03","male",600,FALSE,"non fresh",NA,1
"2011-11-23","unknown",600,FALSE,"non fresh",NA,1
"2014-11-04","male",610,TRUE,"fresh",NA,1
"2013-12-04","male",615,TRUE,"fresh",NA,1
"2011-12-08","male",630,FALSE,"non fresh",NA,1
"2015-11-19","male",630,FALSE,"non fresh",NA,1
"2014-11-19","male",630,TRUE,"non fresh",NA,1
"2013-11-05","female",640,FALSE,"non fresh","spawned",1
"2011-11-17","male",640,FALSE,"non fresh",NA,1
"2013-10-22","male",650,FALSE,"fresh",NA,1
